page,url,error,timestamp
188,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/188,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:14.163501
185,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/185,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:14.176981
191,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/191,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:14.210055
199,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/199,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:14.211366
195,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/195,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:14.211366
193,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/193,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:14.212367
194,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/194,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:14.213364
198,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/198,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:14.224698
196,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/196,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:14.224698
192,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/192,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:14.224698
206,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/206,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:36.647632
201,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/201,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:36.648631
204,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/204,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:36.649581
202,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/202,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:36.649581
203,https://www.fotocasa.es/es/comprar/viviendas/espana/todas-las-zonas/l/203,Failed to perform, curl: (56) Recv failure: Connection was reset. See https://curl.se/libcurl/c/libcurl-errors.html first for more details.,2026-01-21T04:22:36.649581
